                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.82295,                0.51275,                 1.1743,                 0.9781,                 0.9871,                0.99431,                0.77358,                0.85808,                0.49402,                 1.2906,              0.0012674,              0.0012674,              0.0012674
                     77,                 0.8109,                0.50322,                 1.1829,                0.97214,                0.98065,                0.99392,                0.76245,                0.88609,                 0.5111,                 1.3132,              0.0012575,              0.0012575,              0.0012575
                     78,                0.83225,                0.51004,                 1.1759,                 0.9716,                0.97419,                  0.993,                0.75672,                   0.88,                0.49367,                 1.3066,              0.0012476,              0.0012476,              0.0012476
                     79,                0.82787,                0.50026,                 1.1552,                0.99369,                0.96774,                0.99426,                0.77536,                0.87444,                0.46489,                 1.2801,              0.0012377,              0.0012377,              0.0012377
                     80,                0.81406,                0.49523,                 1.1742,                0.98679,                0.96129,                0.99207,                0.72876,                0.92455,                 0.4945,                  1.356,              0.0012278,              0.0012278,              0.0012278
                     81,                0.83316,                0.53099,                 1.2014,                 0.9798,                 0.9871,                0.99354,                0.76467,                0.86898,                0.48914,                 1.2905,              0.0012179,              0.0012179,              0.0012179
                     82,                 0.7762,                0.48779,                 1.1439,                0.97447,                0.98492,                0.99429,                0.73688,                0.93521,                  0.512,                 1.3017,               0.001208,               0.001208,               0.001208
                     83,                0.80426,                0.49526,                 1.1524,                0.96691,                0.97419,                0.99286,                0.76114,                0.88745,                0.48612,                 1.2987,              0.0011981,              0.0011981,              0.0011981
                     84,                0.76529,                0.46489,                 1.1327,                0.99606,                0.99355,                  0.995,                0.76756,                0.85981,                0.46637,                  1.275,              0.0011882,              0.0011882,              0.0011882
                     85,                0.79293,                0.49218,                 1.1493,                0.99354,                 0.9917,                0.99494,                0.76318,                0.87727,                0.48297,                 1.2944,              0.0011783,              0.0011783,              0.0011783
                     86,                0.78757,                0.49199,                 1.1414,                0.99228,                 0.9871,                0.99475,                0.76183,                0.88097,                0.46272,                 1.3088,              0.0011684,              0.0011684,              0.0011684
                     87,                0.78841,                0.48947,                 1.1454,                0.98717,                0.99315,                0.99481,                0.77438,                0.84251,                0.44926,                 1.2798,              0.0011585,              0.0011585,              0.0011585
                     88,                0.76444,                0.46843,                 1.1255,                0.99349,                0.97419,                0.99408,                0.76797,                0.87189,                0.47747,                 1.2891,              0.0011486,              0.0011486,              0.0011486
                     89,                0.76587,                0.47803,                 1.1199,                0.99748,                0.96774,                0.99406,                0.78171,                0.86661,                0.47803,                 1.3023,              0.0011387,              0.0011387,              0.0011387
                     90,                0.76504,                0.47246,                 1.1221,                0.97153,                0.97419,                0.99074,                0.77647,                0.83359,                0.47148,                 1.2572,              0.0011288,              0.0011288,              0.0011288
                     91,                0.75932,                0.46096,                 1.1236,                0.98051,                0.97356,                0.98795,                0.75908,                0.87389,                0.45241,                  1.291,              0.0011189,              0.0011189,              0.0011189
                     92,                0.74002,                0.45717,                  1.107,                0.98009,                0.95276,                0.98829,                0.77231,                 0.8708,                0.45859,                  1.291,               0.001109,               0.001109,               0.001109
                     93,                0.76218,                0.47736,                 1.1313,                0.99158,                0.98065,                0.99468,                0.80053,                0.80977,                0.45083,                  1.251,              0.0010991,              0.0010991,              0.0010991
                     94,                0.76119,                0.48088,                  1.129,                0.99346,                0.98012,                0.99363,                 0.7646,                0.88799,                0.46885,                 1.3013,              0.0010892,              0.0010892,              0.0010892
                     95,                0.71731,                0.44597,                 1.0977,                0.96782,                0.97024,                0.99216,                0.75925,                0.91662,                0.46811,                 1.3776,              0.0010793,              0.0010793,              0.0010793
                     96,                0.72578,                0.45248,                 1.0826,                0.98055,                0.97561,                0.99361,                0.78257,                0.82572,                0.44791,                 1.2344,              0.0010694,              0.0010694,              0.0010694
                     97,                 0.7117,                0.44833,                 1.1024,                0.98595,                0.98065,                0.99303,                0.79107,                0.84781,                0.44459,                 1.2617,              0.0010595,              0.0010595,              0.0010595
                     98,                0.71816,                0.43965,                 1.1082,                0.97367,                0.99355,                 0.9941,                0.77799,                0.87049,                0.44021,                 1.2707,              0.0010496,              0.0010496,              0.0010496
                     99,                0.74225,                0.46401,                 1.1061,                0.98582,                 0.9871,                0.99313,                0.77345,                0.84726,                0.46354,                 1.2414,              0.0010397,              0.0010397,              0.0010397
                    100,                0.74115,                0.44643,                 1.1029,                0.96407,                0.97419,                0.99217,                0.78487,                 0.8376,                0.45982,                 1.2705,              0.0010298,              0.0010298,              0.0010298
                    101,                0.73342,                0.45225,                 1.1124,                0.99432,                 0.9871,                0.99469,                0.79406,                0.82668,                0.42809,                 1.2297,              0.0010199,              0.0010199,              0.0010199
                    102,                 0.7059,                 0.4416,                  1.082,                 0.9975,                0.98065,                0.99469,                0.78178,                0.86658,                0.45222,                 1.2729,                0.00101,                0.00101,                0.00101
                    103,                0.70713,                0.44993,                 1.0918,                0.98706,                 0.9845,                0.99369,                0.79462,                0.83861,                0.43143,                 1.2611,              0.0010001,              0.0010001,              0.0010001
                    104,                0.69048,                0.43414,                 1.0913,                0.99629,                0.99355,                  0.995,                0.78563,                0.82302,                0.42527,                 1.2573,              0.0009902,              0.0009902,              0.0009902
                    105,                0.72597,                0.43948,                 1.0953,                0.96739,                0.99355,                0.99328,                0.78413,                0.84787,                0.43226,                 1.2726,              0.0009803,              0.0009803,              0.0009803
                    106,                0.71164,                0.44131,                 1.0961,                0.97985,                 0.9871,                 0.9943,                0.79493,                0.82739,                0.44759,                 1.2553,              0.0009704,              0.0009704,              0.0009704
                    107,                0.69895,                0.42831,                 1.0812,                0.98049,                 0.9871,                0.99363,                0.78101,                0.85798,                0.46064,                 1.2958,              0.0009605,              0.0009605,              0.0009605
                    108,                 0.7067,                0.43722,                 1.0723,                0.98507,                 0.9871,                 0.9942,                 0.7767,                0.83335,                0.44488,                 1.2627,              0.0009506,              0.0009506,              0.0009506
                    109,                0.67281,                0.41841,                 1.0723,                0.99528,                 0.9871,                0.99417,                 0.8122,                0.78744,                0.42179,                  1.212,              0.0009407,              0.0009407,              0.0009407
                    110,                0.67648,                0.42021,                 1.0731,                0.99599,                0.98065,                0.99451,                0.79759,                0.81069,                0.42207,                 1.2446,              0.0009308,              0.0009308,              0.0009308
                    111,                0.69378,                0.41744,                 1.0875,                 0.9788,                0.99355,                0.99481,                0.76384,                  0.907,                0.44785,                 1.3511,              0.0009209,              0.0009209,              0.0009209
                    112,                0.68393,                0.43022,                 1.0683,                0.98699,                0.97915,                0.99438,                0.79895,                0.80527,                0.41344,                  1.232,               0.000911,               0.000911,               0.000911
                    113,                0.65049,                 0.4103,                 1.0509,                0.95576,                 0.9871,                 0.9928,                0.77978,                0.84212,                0.44503,                 1.2658,              0.0009011,              0.0009011,              0.0009011
                    114,                0.66923,                0.40928,                 1.0569,                0.99477,                 0.9871,                0.99494,                0.80493,                0.82418,                0.43606,                 1.2585,              0.0008912,              0.0008912,              0.0008912
                    115,                0.66597,                0.41463,                 1.0677,                0.96678,                0.96774,                0.99065,                0.78973,                 0.8413,                0.43585,                 1.2598,              0.0008813,              0.0008813,              0.0008813
                    116,                0.64898,                0.39886,                 1.0452,                0.96849,                0.99151,                0.99409,                 0.7688,                0.81079,                0.44963,                 1.2214,              0.0008714,              0.0008714,              0.0008714
                    117,                0.66776,                0.41002,                 1.0581,                0.98062,                0.97912,                 0.9937,                0.77611,                0.84496,                0.42851,                 1.2572,              0.0008615,              0.0008615,              0.0008615
                    118,                0.66282,                0.42113,                 1.0599,                0.99339,                 0.9871,                0.99462,                0.78706,                0.80749,                0.41985,                 1.2521,              0.0008516,              0.0008516,              0.0008516
                    119,                0.67102,                 0.4008,                 1.0616,                0.97805,                0.99355,                0.99429,                0.79559,                0.78079,                0.41532,                  1.218,              0.0008417,              0.0008417,              0.0008417
                    120,                0.64797,                 0.4027,                 1.0558,                0.98198,                0.99355,                0.99448,                0.78903,                0.84902,                0.41387,                 1.2915,              0.0008318,              0.0008318,              0.0008318
                    121,                0.66003,                0.40759,                 1.0447,                0.98715,                0.99098,                0.99461,                0.79027,                0.80818,                0.43609,                 1.2543,              0.0008219,              0.0008219,              0.0008219
                    122,                0.63784,                0.40231,                 1.0493,                0.98699,                0.98065,                0.99455,                0.79526,                0.82477,                0.42517,                 1.2714,               0.000812,               0.000812,               0.000812
                    123,                0.65164,                 0.4008,                  1.065,                0.99229,                 0.9871,                0.99487,                0.82223,                0.75971,                0.40249,                 1.1876,              0.0008021,              0.0008021,              0.0008021
                    124,                0.65925,                0.41011,                 1.0635,                0.99824,                 0.9871,                0.99487,                0.81087,                0.76968,                0.41306,                 1.2086,              0.0007922,              0.0007922,              0.0007922
                    125,                0.62649,                0.39058,                 1.0472,                0.98081,                 0.9892,                0.99474,                0.80652,                0.76073,                0.40587,                 1.1968,              0.0007823,              0.0007823,              0.0007823
                    126,                0.62489,                0.38314,                 1.0299,                0.98475,                0.98065,                0.99437,                0.80181,                0.77341,                0.40395,                 1.2089,              0.0007724,              0.0007724,              0.0007724
